Year,Income
1926,11490
1927,10785
1928,14343
1929,18169
1930,14098
1931,15298
1932,21938
1933,20702
1934,18192
1935,22428
1936,20610
1937,21803
1938,25126
1939,19860
1940,21625
1941,26313
1942,26162
1943,31343
1944,28876
1945,28563
1946,38397
1947,34523
1948,36603
1949,33326
1950,37167
1951,40333
1952,37747
1953,43527
1954,41798
1955,43925
1956,44195
1957,52757
1958,48360
1959,46427
1960,53268
1961,48337
1962,53827
1963,48521
1964,51615
1965,57391
1966,60215
1967,59714
1968,60053
1969,60697
1970,58364
1971,61840
1972,63818
1973,69571
1974,68631
1975,63511
1976,70972
1977,70045
1978,70369
1979,75435
1980,77893
1981,78794
1982,74682
1983,77472
1984,80594
1985,83727
1986,80562
1987,82643
1988,81081
1989,82011
1990,89238
1991,92069
1992,88984
1993,93411
1994,92685
1995,90865
1996,95084
1997,99814
1998,96293
1999,102294
2000,90941
2001,102466
2002,101461
2003,101503
2004,103875
2005,98837
2006,105341
2007,108271
2008,112834
2009,108045
2010,108375
2011,110495
2012,115946
2013,115386
2014,114011
2015,118340
2016,118291
2017,122106
2018,118294
2019,120617
2020,121624
2021,119609
2022,126088
2023,127183
2024,127615
2025,128096
