Experience,Income
1,326.38
1.1,16.33
1.2,416.71
1.29,861.75
1.39,-9.51
1.49,-2.21
1.59,911.73
1.69,513.06
1.78,-98.21
1.88,414.95
1.98,-80.92
2.08,-75
2.18,285.88
2.28,-784.74
2.37,-683.59
2.47,-95.34
2.57,-313.72
2.67,356.68
2.77,-247.63
2.86,-492.98
2.96,952.75
3.06,113.76
3.16,267.1
3.26,-472.39
3.35,-25.59
3.45,308.64
3.55,-315.77
3.65,454.09
3.75,-27.6
3.84,133.31
3.94,-15.29
4.04,1218.08
4.14,291.54
4.24,-224.26
4.34,722.14
4.43,-293.32
4.53,427.75
4.63,-650.35
4.73,-328.46
4.83,440.17
4.92,717.04
5.02,439.54
5.12,302.04
5.22,215.29
5.32,-367.48
5.41,17.77
5.51,153.26
5.61,917.98
5.71,567.05
5.81,-480.5
5.9,568.82
6,219.95
6.1,79.72
6.2,729.68
6.3,944.97
6.4,900.7
6.49,21.02
6.59,291.55
6.69,617.29
6.79,944.9
6.89,222.98
6.98,375.15
7.08,-79.81
7.18,-119.4
7.28,890.29
7.38,1167.44
7.47,458.57
7.57,1001.57
7.67,685.82
7.77,187.61
7.87,696.01
7.96,1289.44
8.06,507.59
8.16,1312.88
8.26,-774.29
8.36,951.52
8.46,589.06
8.55,400.97
8.65,601.26
8.75,-433.52
8.85,455.28
8.95,748.49
9.04,1313.68
9.14,320.36
9.24,179.99
9.34,338.07
9.44,1051.33
9.53,762.66
9.63,338.03
9.73,864.15
9.83,660.62
9.93,1100.95
10.03,270.12
10.12,461.81
10.22,434.05
10.32,-97.21
10.42,787.02
10.52,773.87
10.61,650.26
10.71,534.74
10.81,-51.34
10.91,450.3
11.01,493.52
11.1,267.97
11.2,592.67
11.3,879.52
11.4,1624.74
11.5,773.06
11.59,818.65
11.69,656.73
11.79,-261.38
11.89,688.77
11.99,736.15
12.09,1941.63
12.18,617.78
12.28,868.66
12.38,704.44
12.48,141.34
12.58,1300.94
12.67,1109.33
12.77,1132.69
12.87,286.26
12.97,1446.11
13.07,47.53
13.16,1045.6
13.26,1851.09
13.36,264.26
13.46,480.02
13.56,816.62
13.65,518.65
13.75,-1.36
13.85,811.8
13.95,249.9
14.05,1021.36
14.15,328.33
14.24,1566.48
14.34,403.33
14.44,637.34
14.54,1208.53
14.64,189.71
14.73,922.23
14.83,1465.41
14.93,11.41
15.03,910.76
15.13,951.65
15.22,1215.87
15.32,209.71
15.42,171.16
15.52,1095.55
15.62,986.24
15.71,966.13
15.81,1017.24
15.91,507.11
16.01,966.33
16.11,999.8
16.21,499.14
16.3,1792.22
16.4,1099.26
16.5,269.68
16.6,1196.57
16.7,383.9
16.79,1267.71
16.89,1456.37
16.99,469.63
17.09,1364.52
17.19,1092.08
17.28,1299.55
17.38,1839.73
17.48,771.44
17.58,520.04
17.68,454.91
17.77,494.51
17.87,866.59
17.97,1078.42
18.07,1048.88
18.17,1326.79
18.27,922.36
18.36,1645.26
18.46,788.78
18.56,2283.79
18.66,1239.13
18.76,500.28
18.85,395.97
18.95,1175.18
19.05,824.73
19.15,1295.96
19.25,1178.07
19.34,907.5
19.44,522.97
19.54,191.38
19.64,727.96
19.74,1381.83
19.83,1063.06
19.93,335.52
20.03,1047.33
20.13,1155.74
20.23,523.48
20.33,1044.59
20.42,999.12
20.52,400.82
20.62,1153.46
20.72,1257.21
20.82,1520.58
20.91,1508.18
21.01,294.65
21.11,516.77
21.21,1245.38
21.31,1246.92
21.4,1249.71
21.5,2920.69
21.6,1281.89
21.7,1566.34
21.8,1477.66
21.89,1328.44
21.99,847.18
22.09,1386.36
22.19,622.5
22.29,892.54
22.39,770.29
22.48,1055.91
22.58,2174.3
22.68,85.32
22.78,1364.05
22.88,216.52
22.97,788.86
23.07,1571.23
23.17,1060.82
23.27,491.72
23.37,674.84
23.46,1374.18
23.56,671.07
23.66,1146.35
23.76,1062.76
23.86,716.01
23.95,2115.61
24.05,1362.42
24.15,34.7
24.25,1142.3
24.35,719.97
24.45,1478.85
24.54,658.15
24.64,998.8
24.74,1310.4
24.84,1492.53
24.94,461.23
25.03,895.84
25.13,827.33
25.23,739.84
25.33,1950.92
25.43,1272.36
25.52,441.1
25.62,1532.14
25.72,2135.94
25.82,1592.74
25.92,318.46
26.02,837.65
26.11,1714.84
26.21,729.16
26.31,1306.51
26.41,1473.51
26.51,624.32
26.6,1059.6
26.7,-529.7
26.8,580.3
26.9,967.76
27,471.71
27.09,1913.34
27.19,383.6
27.29,880.18
27.39,1167.09
27.49,1823.87
27.58,386.8
27.68,1687.82
27.78,1112.84
27.88,618.46
27.98,1341.75
28.08,1211.7
28.17,813.53
28.27,1150
28.37,923.9
28.47,1174.76
28.57,1450.51
28.66,1913.89
28.76,503.41
28.86,2190.27
28.96,149.13
29.06,1050.7
29.15,1422.16
29.25,1269.91
29.35,819.47
29.45,1028.15
29.55,887.11
29.64,840.32
29.74,1561.19
29.84,1316.27
29.94,792.69
30.04,1590.32
30.14,1295.54
30.23,1549.69
30.33,1459.43
30.43,731.48
30.53,867.24
30.63,1522.33
30.72,1455.22
30.82,1140.93
30.92,1211.39
31.02,1792.9
31.12,859.62
31.21,1430.29
31.31,1056.98
31.41,1050.56
31.51,1710.12
31.61,1574.77
31.7,1570.14
31.8,1817.45
31.9,1176.53
32,1508.32
32.1,1013.53
32.2,1332.06
32.29,1106.22
32.39,1221.11
32.49,1471.5
32.59,766.12
32.69,2222.74
32.78,674.85
32.88,572.07
32.98,1759.53
33.08,1577.61
33.18,1495.15
33.27,1498.57
33.37,1179.58
33.47,738.39
33.57,1226.22
33.67,851.05
33.76,1678.5
33.86,1118.72
33.96,780.81
34.06,1034.18
34.16,1402.65
34.26,915.63
34.35,787.7
34.45,1321.96
34.55,1323.92
34.65,949.28
34.75,968.55
34.84,1321.42
34.94,482.67
35.04,504.31
35.14,850.14
35.24,1103.97
35.33,1367.48
35.43,1951.04
35.53,1643.52
35.63,1136.06
35.73,1207.86
35.82,717.45
35.92,1210.8
36.02,1077.08
36.12,1384.12
36.22,810.5
36.32,1485.15
36.41,1993.21
36.51,1173.82
36.61,1430.43
36.71,1576.02
36.81,1031.71
36.9,1345.75
37,1241.38
37.1,1285.32
37.2,851.37
37.3,1251.52
37.39,1489.67
37.49,1967.65
37.59,1723.13
37.69,2321.5
37.79,862.66
37.88,1683.92
37.98,1340.86
38.08,2345.53
38.18,847.92
38.28,833.66
38.38,955.28
38.47,194.49
38.57,995.03
38.67,879.81
38.77,1336.05
38.87,1433.22
38.96,2201.92
39.06,1740.54
39.16,978.38
39.26,819.14
39.36,1515.82
39.45,611.27
39.55,2188.65
39.65,1864.18
39.75,1041.42
39.85,420.99
39.94,1956.06
40.04,1223.42
40.14,1901.17
40.24,486.64
40.34,985.76
40.44,1289.67
40.53,1312.14
40.63,1065.24
40.73,1603.32
40.83,759.72
40.93,1223.98
41.02,1356.97
41.12,1555.71
41.22,1655.96
41.32,739.51
41.42,536.46
41.51,1944.06
41.61,1473.08
41.71,934.4
41.81,2085.94
41.91,1369.94
42.01,1903.5
42.1,1349.36
42.2,2347.74
42.3,2196.82
42.4,1196.45
42.5,1808.52
42.59,1647.23
42.69,2010.67
42.79,845.72
42.89,1673.05
42.99,1861.09
43.08,454.37
43.18,743.98
43.28,317.88
43.38,1204.69
43.48,1700.07
43.57,2094.4
43.67,1382.2
43.77,2161.4
43.87,659
43.97,499.32
44.07,1325.22
44.16,1547.02
44.26,1340.64
44.36,325.29
44.46,1316.48
44.56,710.85
44.65,1699.97
44.75,1550.5
44.85,899.35
44.95,1114.45
45.05,843.88
45.14,1344.27
45.24,1855.32
45.34,887.04
45.44,1634.09
45.54,1119.11
45.63,990
45.73,1335.12
45.83,873.24
45.93,1116.27
46.03,796.4
46.13,2379.97
46.22,1417.52
46.32,1052.31
46.42,1511.47
46.52,1350.64
46.62,1298.66
46.71,1718.58
46.81,1792.62
46.91,1151.01
47.01,1130.75
47.11,1283.55
47.2,272.54
47.3,668.36
47.4,2111.86
47.5,2253.38
47.6,1308.88
47.69,1724.19
47.79,1594.07
47.89,2980.43
47.99,2003.34
48.09,1382.17
48.19,970.96
48.28,648.12
48.38,1555.71
48.48,1078.45
48.58,748.17
48.68,1138.69
48.77,923.91
48.87,2310.97
48.97,1910.96
49.07,1468.91
49.17,2215.64
49.26,1517.15
49.36,1050.63
49.46,2245.66
49.56,1756.4
49.66,971.19
49.75,1397.53
49.85,1057.8
49.95,807.13
50.05,1964.56
50.15,2459.14
50.25,808.13
50.34,1791.9
50.44,1188.12
50.54,1272.92
50.64,1223.34
50.74,1090.63
50.83,1549.98
50.93,1113.37
51.03,1667.21
51.13,1510.03
51.23,1418.85
51.32,1087.75
51.42,1256.37
51.52,1925.69
51.62,1801.72
51.72,1065.77
51.81,1607.52
51.91,1936.88
52.01,729.83
52.11,1839.59
52.21,1239.99
52.31,1860.02
52.4,1196.53
52.5,679.17
52.6,771.33
52.7,1612.64
52.8,1721.99
52.89,1143.52
52.99,1918.54
53.09,772.08
53.19,1573.42
53.29,1004.59
53.38,1287.84
53.48,1641.15
53.58,1190.95
53.68,1432.61
53.78,2131.79
53.87,1343.98
53.97,2054.07
54.07,1075.2
54.17,1908.81
54.27,2368.57
54.37,415.86
54.46,1257.16
54.56,1948.09
54.66,1562
54.76,1853.1
54.86,1369.55
54.95,1718.89
55.05,1601.83
55.15,2267.65
55.25,1815.09
55.35,1860.83
55.44,1490.26
55.54,1456.6
55.64,1488.35
55.74,1906.1
55.84,1502.66
55.93,1862.34
56.03,2759.48
56.13,2161.7
56.23,1567.5
56.33,2335.53
56.43,1535.32
56.52,724.75
56.62,1244.26
56.72,817.42
56.82,1581.6
56.92,1771.13
57.01,2604.74
57.11,1934.6
57.21,1666.24
57.31,2195.17
57.41,679.6
57.5,1907.71
57.6,2180.1
57.7,1060.16
57.8,2376.15
57.9,1978.37
57.99,1606.35
58.09,2135.28
58.19,2959.17
58.29,1919.72
58.39,1957.88
58.49,1609.11
58.58,1418.91
58.68,2264.08
58.78,1425.97
58.88,1894.93
58.98,1625.48
59.07,2108.99
59.17,2041.56
59.27,2398.75
59.37,1630.25
59.47,1755.64
59.56,1406.54
59.66,1679.14
59.76,2095.34
59.86,2290.62
59.96,1456.51
60.06,2357.89
60.15,2606.43
60.25,2140.89
60.35,2878.16
60.45,1558.48
60.55,1328.7
60.64,1067.35
60.74,2710.45
60.84,2295.35
60.94,1946.16
61.04,2119.74
61.13,1422.85
61.23,3214.35
61.33,2061.99
61.43,2058.01
61.53,2372.17
61.62,2255.79
61.72,2133.27
61.82,1632.15
61.92,2269.23
62.02,2980.64
62.12,2718.5
62.21,2848.59
62.31,1802.62
62.41,1569.69
62.51,2007.9
62.61,2104.99
62.7,2630.59
62.8,1243.67
62.9,2861.11
63,2023.8
63.1,1895.87
63.19,1609.8
63.29,1295
63.39,2540.62
63.49,2172.33
63.59,1497.37
63.68,1501.53
63.78,1987.92
63.88,2997.11
63.98,2039.62
64.08,1424.7
64.18,2060.29
64.27,2053.72
64.37,848.6
64.47,2176.89
64.57,2095.6
64.67,2566.24
64.76,3149.72
64.86,2795.67
64.96,2105.12
