cake_age_days,signup_season,last_order_days_ago,tasty_level,Cherry_or_not,Look_of_cake,Cream_level,layer_count
234,1,65,5,1,4,7,2
432,2,12,9,1,5,12,4
349,3,32,6,1,5,11,3
249,3,77,5,1,3,7,2
137,3,102,3,0,1,5,1
127,0,97,3,0,3,4,1
43,2,136,0,0,0,2,0
426,3,11,9,1,4,13,4
318,0,39,6,1,4,9,3
344,2,45,6,1,3,9,3
25,3,125,1,0,2,2,0
409,3,12,8,1,4,12,4
324,1,30,6,1,4,11,3
100,2,107,2,0,3,3,1
147,1,104,2,0,1,4,1
127,2,93,2,0,1,3,1
229,2,76,5,1,4,8,2
203,2,72,5,1,2,6,2
234,0,73,4,1,2,6,2
103,0,109,2,0,1,3,1
342,2,47,6,1,5,11,3
104,1,104,2,0,2,3,1
146,1,100,2,0,3,5,1
203,3,69,4,1,4,7,2
218,2,70,4,1,2,8,2
327,1,48,6,1,3,9,3
122,1,104,2,0,2,4,1
201,0,60,5,1,3,6,2
227,2,68,4,1,4,8,2
41,3,120,0,0,2,0,0
310,2,43,6,1,5,11,3
146,2,106,2,0,3,5,1
29,0,125,1,0,0,2,0
421,2,15,9,1,5,12,4
440,0,6,8,1,4,13,4
316,2,45,7,1,3,10,3
223,2,76,4,1,2,7,2
37,2,137,1,0,1,2,0
335,1,31,7,1,4,9,3
221,1,76,5,1,4,7,2
112,0,103,3,0,1,3,1
225,2,68,5,1,2,6,2
40,1,124,0,0,2,1,0
436,1,9,9,1,4,13,4
118,1,91,2,0,3,3,1
324,2,38,6,1,4,11,3
218,0,64,4,1,3,7,2
230,2,76,5,1,2,7,2
216,3,63,5,1,3,6,2
125,2,101,2,0,2,5,1
438,2,14,8,1,5,13,4
343,0,44,7,1,3,9,3
447,2,17,9,1,6,14,4
444,0,19,9,1,6,13,4
207,1,76,4,1,4,6,2
411,0,11,8,1,5,14,4
48,3,138,1,0,2,0,0
125,1,103,3,0,1,3,1
15,1,139,0,0,2,2,0
247,1,77,4,1,4,8,2
241,1,61,4,1,3,8,2
132,0,109,2,0,1,4,1
316,2,32,7,1,3,10,3
204,2,79,5,1,2,8,2
103,3,104,2,0,3,5,1
202,0,70,5,1,4,8,2
100,1,106,3,0,2,4,1
307,0,37,7,1,3,11,3
18,1,121,0,0,1,0,0
425,1,0,8,1,5,14,4
335,3,43,7,1,4,10,3
145,1,93,3,0,1,5,1
0,3,133,0,0,0,1,0
316,2,32,6,1,3,11,3
