daily_tiktok_screen_time,average_scrolls_per_session,tiktok_usage_time_of_day,max_consecutive_watch_time,video_likes_per_day,number_of_followed_accounts,frequency_of_comments_posted,videos_saved_per_week,self_control_score,boredom_level,workload_per_day,productivity_hours_lost
112,82,1,29,43,351,18,16,4,4,7,12
280,81,1,84,3,503,13,2,7,2,3,14
116,87,0,56,9,78,7,11,7,5,2,12
81,10,3,29,5,299,14,17,2,2,2,10
198,83,1,85,33,591,1,17,2,8,4,21
30,13,0,119,7,813,6,14,9,7,5,9
112,68,1,68,29,781,19,20,5,10,8,15
131,91,1,85,7,286,17,8,2,2,5,15
224,50,0,28,5,213,11,24,8,7,2,12
97,99,2,85,42,286,15,29,8,2,8,15
109,52,1,58,38,592,16,8,10,10,4,13
161,23,2,68,10,722,18,7,3,2,7,9
140,38,0,59,20,290,17,26,3,5,2,16
159,82,3,30,21,411,14,9,9,2,9,5
267,46,3,19,7,50,9,20,9,2,6,4
201,31,2,51,31,196,16,24,10,10,9,10
286,97,0,77,2,898,8,28,7,4,9,12
170,45,2,13,38,398,17,22,7,8,6,11
31,67,1,110,44,953,4,27,1,2,7,15
262,24,3,25,49,601,12,7,8,7,3,13
245,70,3,12,3,239,19,18,6,8,6,13
58,16,3,54,27,790,7,26,10,7,9,5
68,51,2,105,16,306,9,11,4,4,2,14
179,34,2,50,9,634,5,4,4,3,9,4
197,73,3,21,6,269,1,1,10,10,4,9
280,53,1,7,3,237,15,1,9,1,5,2
199,15,0,55,43,821,19,10,5,10,9,12
184,13,3,24,25,729,7,24,8,9,8,5
60,75,1,16,43,469,9,19,5,2,7,6
64,23,0,64,24,284,10,25,9,3,8,3
253,13,3,54,34,208,19,27,3,9,8,17
140,44,1,47,24,249,14,19,9,9,2,11
144,86,0,5,31,105,19,23,1,4,4,15
30,43,1,65,31,635,8,5,6,8,9,6
176,35,1,57,41,302,4,23,10,5,3,12
283,65,2,92,27,500,0,13,4,7,7,17
98,99,3,30,43,682,17,9,2,5,7,17
23,77,0,17,9,378,3,7,7,7,7,2
251,87,3,64,12,187,8,3,2,1,5,14
274,84,0,101,47,411,19,9,2,3,9,20
62,12,3,29,8,679,1,10,7,7,4,5
101,96,1,107,18,543,4,19,3,3,4,17
273,17,1,7,31,935,6,5,10,10,8,4
44,53,3,15,40,293,2,4,6,1,4,6
215,99,2,90,36,592,0,0,5,3,7,14
90,87,3,102,9,977,8,14,5,5,5,14
59,14,3,109,40,531,12,19,1,6,8,17
11,67,2,57,25,915,3,1,1,8,3,14
63,95,0,60,44,771,8,18,5,9,5,15
115,87,3,6,20,575,0,8,6,9,9,7
269,21,1,90,7,675,3,18,10,2,8,3
200,76,1,34,2,309,5,19,7,1,5,8
227,29,2,110,8,531,3,12,9,1,6,8
53,12,1,15,37,788,2,14,10,7,3,4
171,42,2,41,42,953,18,22,5,9,8,16
211,86,0,33,20,997,0,10,7,9,7,8
279,27,3,36,46,904,4,23,3,6,4,16
280,84,0,38,5,304,11,7,4,10,4,15
224,35,2,28,29,618,12,27,9,4,5,9
261,16,3,58,34,345,5,1,8,3,8,6
199,99,2,101,35,388,5,20,3,10,2,27
222,12,1,93,15,476,9,19,3,8,4,16
217,10,3,62,36,88,3,17,2,5,6,13
246,26,0,92,17,135,7,10,3,8,4,14
62,21,1,61,22,491,7,27,2,6,4,11
289,82,3,7,22,581,18,9,1,1,4,12
226,90,2,64,31,261,14,2,6,7,3,19
261,91,1,11,14,761,14,3,6,3,7,6
197,32,3,39,18,140,5,15,4,9,3,15
50,11,1,89,28,502,0,0,5,10,9,6
166,36,3,91,2,576,2,13,6,4,7,8
24,64,2,54,0,654,8,0,6,4,6,3
74,24,2,100,15,216,16,28,8,10,5,14
18,53,2,27,37,775,18,26,9,3,7,8
138,78,0,11,0,94,6,18,5,5,8,3
145,58,2,84,28,507,16,5,1,8,7,17
72,72,0,77,7,893,19,17,2,1,7,12
148,44,3,79,43,808,15,26,5,8,8,17
90,28,3,45,45,789,10,1,4,7,4,13
172,62,3,17,20,900,17,14,7,5,5,11
298,11,3,110,23,392,2,10,2,2,8,13
270,61,2,39,29,970,18,17,8,8,3,16
240,29,1,45,1,274,1,13,9,1,7,0
50,68,3,97,23,467,15,17,4,7,3,20
37,12,1,113,47,946,11,4,3,3,3,14
144,17,3,106,48,61,11,14,5,2,3,16
210,49,0,23,27,874,3,3,2,8,3,12
277,39,2,48,34,731,7,21,10,9,5,14
42,21,0,62,26,690,12,16,8,1,6,3
57,58,3,103,27,969,16,25,1,5,6,20
71,26,0,99,45,190,11,15,9,2,7,9
225,75,2,50,38,744,6,10,3,8,6,16
108,32,0,24,29,50,2,9,6,7,8,2
181,48,3,88,30,402,0,21,4,2,2,17
223,36,1,81,1,396,14,28,7,4,5,13
44,66,2,29,23,755,14,0,4,4,2,12
236,28,0,36,31,583,17,23,5,9,9,12
110,53,2,86,0,845,19,17,1,2,2,14
140,75,3,19,25,569,6,2,10,1,4,5
266,41,2,62,30,278,19,6,10,4,3,13
14,42,3,99,46,964,17,16,1,8,6,22
227,52,2,14,35,262,2,15,10,9,7,5
264,32,1,31,44,934,7,7,2,8,4,14
292,23,3,46,5,557,7,14,2,9,3,14
216,89,1,34,17,566,4,29,7,3,6,9
24,66,2,33,48,753,9,22,3,8,5,16
51,66,0,41,18,651,12,22,3,4,2,12
188,67,0,42,26,965,17,16,8,10,6,12
72,71,3,14,21,557,1,1,10,6,3,3
240,49,2,33,34,439,10,14,2,2,7,11
250,53,1,35,36,993,14,24,3,10,3,19
61,56,2,90,2,773,0,26,9,2,7,5
105,93,2,97,22,209,14,2,1,10,7,20
231,55,3,12,17,612,5,15,1,6,4,10
240,62,3,104,33,341,8,8,4,10,8,21
246,38,2,8,23,352,4,15,4,2,9,4
152,58,3,42,6,304,12,17,1,8,6,14
180,62,0,55,35,619,12,18,1,3,4,17
38,18,0,75,6,798,12,8,4,5,4,8
45,82,2,15,19,301,10,7,7,7,9,4
22,34,3,85,27,621,13,23,1,1,2,16
169,56,3,19,37,867,0,1,2,3,6,10
196,90,0,75,43,909,6,9,2,6,3,19
252,59,1,103,14,252,18,18,9,6,8,13
95,80,0,46,10,358,15,20,7,4,8,9
293,25,2,105,29,807,10,28,2,6,9,18
75,46,2,118,36,191,16,17,4,10,7,19
179,27,0,78,32,705,16,16,2,1,8,13
54,48,3,25,20,942,6,8,6,7,9,5
71,87,0,77,49,618,18,20,5,8,6,18
143,65,3,92,36,827,6,21,9,9,4,17
293,91,0,114,44,803,18,4,4,8,6,23
37,17,1,113,49,314,2,18,8,8,2,15
117,66,3,51,6,854,3,8,8,10,8,8
53,98,0,95,48,219,8,21,7,2,2,17
295,29,0,28,48,975,9,23,3,5,5,15
137,66,0,91,21,474,19,27,3,9,5,20
240,10,3,105,14,751,13,7,4,1,9,10
199,97,3,38,44,566,8,14,10,6,6,11
234,22,0,90,25,224,5,29,9,2,2,12
292,84,2,109,45,334,19,23,9,7,5,25
130,61,3,41,28,699,8,16,3,2,9,8
125,39,0,15,28,72,7,23,1,10,5,12
242,90,2,13,12,72,4,24,8,8,8,8
268,66,3,48,30,450,7,15,10,2,7,7
207,14,3,92,27,499,1,12,10,3,9,8
146,31,3,20,36,722,17,0,5,9,3,14
174,60,3,57,1,558,12,18,4,3,8,9
234,88,2,75,15,855,9,22,1,10,4,22
243,83,2,40,49,297,6,4,5,4,5,14
181,10,3,25,9,453,7,11,6,8,4,8
161,55,3,94,6,214,19,24,8,2,2,16
169,88,1,76,1,346,9,9,2,9,6,14
105,51,1,35,36,942,19,27,5,4,6,11
242,51,1,49,20,811,2,12,3,4,2,12
189,73,1,110,26,651,14,2,2,1,4,18
122,30,0,85,15,57,8,21,6,2,9,6
61,88,0,88,36,727,8,20,10,9,2,17
277,78,1,107,11,221,15,27,9,8,8,16
122,28,0,36,32,522,9,10,9,6,5,7
110,23,3,100,36,991,1,12,1,9,6,17
122,24,3,52,21,238,19,22,2,5,7,13
90,60,2,61,29,261,3,1,8,8,3,9
196,92,2,21,5,514,8,24,4,10,4,14
122,25,2,81,4,478,13,17,7,2,4,8
11,92,2,58,44,375,12,15,8,7,7,12
139,62,1,30,41,531,9,15,7,3,4,8
229,64,1,74,43,498,3,2,6,6,3,16
63,32,3,59,46,720,19,22,3,8,4,18
233,45,3,117,10,378,16,1,6,4,7,13
234,27,3,6,28,569,3,2,5,8,7,5
135,54,0,76,34,405,1,25,5,3,7,11
139,97,0,86,27,953,19,16,7,5,5,16
62,80,2,83,12,357,2,17,6,8,4,14
181,98,2,84,6,850,10,11,3,7,5,18
227,54,1,32,24,168,17,15,4,8,5,15
169,16,0,79,11,554,3,10,10,6,2,7
207,78,1,84,42,487,18,1,9,1,2,16
256,97,3,20,8,218,0,13,10,10,9,9
212,93,0,77,25,339,10,19,9,1,7,11
193,94,0,17,9,705,8,17,5,4,3,9
132,29,0,76,5,916,12,7,1,5,7,8
264,83,3,49,44,870,18,20,8,4,2,18
289,96,0,81,15,461,8,28,10,10,3,18
107,55,2,112,33,508,17,16,4,7,6,21
207,42,2,73,23,799,14,14,5,1,2,15
249,24,3,15,17,898,13,10,7,7,4,8
153,43,1,117,29,549,13,26,2,5,7,19
106,88,2,75,36,839,17,21,5,3,5,16
210,14,1,72,47,168,19,14,6,8,5,17
133,18,0,81,19,474,13,23,9,2,8,6
196,73,2,57,3,975,19,5,7,8,3,15
268,69,0,116,6,968,11,24,10,10,5,19
157,37,3,89,28,839,0,6,5,2,7,10
261,18,3,67,41,127,4,28,8,4,7,11
156,59,1,77,40,615,7,29,4,5,7,16
157,45,1,10,27,929,18,26,2,7,5,13
208,18,3,85,10,491,4,2,4,8,8,9
137,40,3,20,21,140,16,20,4,3,4,11
48,54,3,41,21,954,10,25,1,8,4,14
138,64,1,38,15,451,7,11,4,8,8,9
276,87,2,36,19,734,2,0,7,5,2,11
160,24,3,36,17,179,8,1,2,3,3,10
108,50,0,66,49,711,12,3,7,6,5,13
272,75,1,76,36,364,18,8,10,2,4,14
261,72,0,19,24,762,13,0,10,10,2,13
153,36,1,59,34,270,9,23,10,5,9,8
121,73,0,48,43,763,13,5,8,2,7,7
69,69,2,114,18,245,0,18,8,6,2,14
11,65,0,27,29,141,17,24,6,8,4,11
263,80,0,83,24,997,11,24,8,7,9,15
149,23,2,20,30,748,7,25,6,1,5,7
46,69,1,25,0,574,7,23,1,10,7,9
169,49,1,65,39,261,8,9,1,10,2,20
18,29,2,104,2,879,19,22,3,5,8,12
242,60,3,78,39,820,5,19,1,3,8,16
108,14,2,51,33,773,2,19,7,8,7,8
156,91,1,76,4,761,7,17,4,9,3,15
217,81,0,66,23,699,1,22,2,8,3,17
140,59,3,109,34,543,19,12,1,5,5,21
161,80,1,27,28,935,3,29,10,10,2,13
63,97,0,94,35,271,12,5,6,2,9,12
129,69,2,73,10,459,1,25,3,4,2,15
170,95,3,100,13,809,13,10,4,8,7,19
125,29,3,115,15,447,6,14,9,1,7,6
84,36,1,6,26,875,3,25,3,10,3,11
122,29,1,117,6,310,12,4,7,10,7,13
113,15,0,42,3,790,3,15,8,10,3,7
263,17,0,75,4,907,16,29,4,4,4,14
236,88,3,66,34,63,7,10,5,9,8,18
121,31,2,119,28,698,16,19,4,7,6,18
108,44,0,88,33,466,0,15,8,8,6,11
162,51,1,64,44,264,8,17,4,5,3,17
203,86,3,56,32,118,18,25,8,4,2,19
172,29,2,34,47,309,10,24,10,9,8,11
217,78,3,23,29,816,6,10,2,3,5,11
178,12,0,36,47,259,11,5,8,3,4,8
170,36,0,6,40,311,2,16,3,2,3,7
77,78,0,63,30,302,9,24,5,5,2,14
298,69,0,112,35,973,15,6,7,9,6,20
286,29,1,24,34,55,3,14,3,1,9,6
144,32,1,109,4,484,3,10,4,6,3,13
204,21,3,37,44,880,0,11,6,10,9,8
137,64,2,93,26,978,19,5,5,3,4,15
42,58,2,26,30,58,7,16,4,2,8,7
185,89,1,22,13,732,3,13,10,5,9,1
31,36,0,53,34,787,19,20,1,2,8,10
247,74,3,41,4,500,18,20,3,10,2,19
167,60,3,11,47,530,19,25,5,9,2,18
47,85,0,49,29,664,9,4,6,9,4,11
239,86,2,93,10,675,9,2,10,1,3,11
60,81,2,26,36,740,3,4,4,2,6,9
273,53,1,85,26,451,6,26,3,7,8,17
292,38,0,80,40,940,15,15,3,9,9,16
36,48,0,72,27,758,16,25,3,1,2,12
235,25,1,26,5,438,6,27,5,2,5,5
286,14,3,91,18,717,3,4,2,10,8,13
295,52,2,112,35,642,3,2,8,10,6,18
106,66,0,7,18,887,11,22,1,9,4,14
293,29,2,44,30,173,15,6,1,10,4,18
156,45,2,27,13,836,10,21,10,2,9,3
13,57,2,21,13,618,7,9,2,10,4,8
44,59,3,58,43,327,6,10,3,8,6,14
201,11,1,86,41,229,6,7,4,4,2,14
58,21,0,8,27,974,10,3,7,3,9,0
26,48,1,69,7,211,17,8,9,6,5,6
181,62,0,66,9,258,18,1,6,5,8,10
229,72,1,103,30,465,8,10,5,9,4,19
167,21,3,15,1,956,14,27,8,1,8,0
55,43,0,45,24,896,2,16,5,5,9,3
15,43,1,70,47,56,19,10,2,8,2,19
108,21,1,102,45,520,6,8,3,9,7,14
242,26,0,116,43,997,3,20,4,9,4,19
46,15,0,96,12,74,12,13,6,6,8,7
289,39,3,64,20,342,0,22,8,6,5,14
190,95,0,116,40,878,11,22,2,3,8,19
104,46,2,23,4,219,8,21,8,5,8,3
108,96,2,96,20,896,19,21,6,7,8,18
197,89,1,100,31,269,14,14,10,9,8,16
125,35,2,7,22,98,17,14,6,6,3,9
200,57,0,58,35,433,12,28,8,7,8,12
262,49,2,81,34,79,0,1,1,1,5,12
170,40,3,107,6,211,13,27,6,1,5,13
265,55,2,68,45,800,3,26,5,4,4,17
137,75,0,73,11,923,15,25,3,9,8,15
27,76,3,5,49,78,12,28,7,8,8,8
290,97,0,76,1,70,4,1,10,4,3,8
232,46,2,92,36,563,13,23,7,4,5,19
63,26,3,17,1,151,5,0,3,5,2,2
67,77,1,40,20,640,16,19,4,1,6,10
183,68,3,115,0,968,18,10,5,7,3,21
289,91,0,36,48,366,6,8,9,2,9,7
123,49,0,9,35,289,15,8,8,9,5,9
297,36,2,58,47,884,6,3,4,6,2,16
160,21,0,115,6,57,9,4,2,7,3,16
136,40,3,72,25,942,16,8,5,7,2,16
164,37,1,24,24,217,5,20,9,3,4,4
282,35,3,103,3,909,2,5,7,9,6,13
113,22,2,53,23,521,9,11,6,1,6,8
255,91,1,116,42,532,4,24,2,4,9,17
185,26,1,82,39,748,18,13,5,1,3,15
48,50,2,55,14,77,18,5,9,1,3,8
179,41,0,15,2,868,7,4,4,10,6,6
256,31,0,100,5,490,13,23,3,9,7,17
35,89,1,39,19,744,8,8,10,8,3,8
22,59,0,21,47,288,7,12,3,2,7,6
45,12,0,39,4,214,15,20,6,2,6,1
182,31,3,18,39,273,11,25,7,7,3,12
29,68,1,43,21,934,11,27,3,5,3,13
273,25,3,35,30,355,14,20,8,8,7,11
151,75,0,15,49,499,12,8,5,9,6,12
152,49,2,104,27,584,12,19,2,9,9,19
101,65,0,17,5,239,7,26,1,9,2,11
297,95,1,87,0,394,0,16,2,10,6,17
224,65,1,64,31,952,4,14,8,9,3,17
60,87,0,69,20,507,3,7,5,7,4,11
162,23,3,88,15,483,16,9,3,1,4,14
195,71,1,37,29,751,5,10,1,2,7,10
72,78,3,74,21,89,18,9,1,1,8,14
199,36,1,59,3,944,17,13,3,3,5,11
134,56,2,65,46,456,18,25,6,8,5,17
159,89,3,86,20,371,3,18,9,9,8,14
67,77,0,82,32,589,6,6,8,10,7,12
189,96,0,104,1,444,6,14,2,6,5,18
179,83,1,99,1,469,16,6,10,7,8,9
280,26,3,105,35,887,4,17,7,10,6,19
63,36,1,90,10,132,1,11,1,10,4,13
